model_mode,species,antibiotic,mean_species_antibiotic_auc,std_species_antibiotic_auc,mean_n_val_pairs,mean_n_susceptible,mean_n_resistant,n_folds,n_folds_with_valid_auc
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Piperacillin,0.6065071535607249,0.07158617289797793,32.6,20.2,12.4,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Piperacillin-Tazobactam,0.6344159145485943,0.09466616250771227,88.4,61.2,27.2,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Polymyxin B,,,11.4,11.4,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Posaconazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Pristinamycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Rifampicin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Strepomycin_high_level,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Teicoplanin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Tetracycline,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Ticarcillin,0.5706711008289955,0.05546999082773039,32.4,18.8,13.6,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Tigecycline,,,30.8,30.8,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Tobramycin,0.5758738754316198,0.11624195376250578,112.2,103.0,9.2,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Vancomycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,Voriconazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,5-Fluorocytosine,,,0.0,,,4,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Amikacin,0.7049445673303163,0.3440204336151579,159.6,158.8,0.8,5,3
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Amoxicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Amoxicillin-Clavulanic acid,0.6954162272437695,0.07737167935590539,123.4,118.6,4.8,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Ampicillin,,,76.4,0.0,76.4,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Anidulafungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Azithromycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Aztreonam,0.5623661511455466,0.1551050197365333,44.6,42.6,2.0,5,4
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Benzylpenicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Caspofungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefazolin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefepime,0.7226990603995326,0.11255724806512846,159.8,156.2,3.6,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefixime,0.5195191163236276,0.11649668174983352,44.2,42.2,2.0,5,4
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefotaxime,0.5594791903021716,0.17870549648300346,44.6,42.4,2.2,5,4
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefoxitin,0.8888888888888888,,8.8,8.6,0.2,5,1
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefpodoxime,0.6163409387861474,0.08931053214730722,56.2,47.4,8.8,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Ceftazidime,0.6886541417406409,0.08532552282921695,170.2,166.6,3.6,5,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Ceftazidime-Avibactam,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Ceftobiprole,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Ceftolozane-Tazobactam,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Ceftriaxone,0.8624097638285788,0.16362714117974644,125.6,124.0,1.6,5,4
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,Cefuroxime,0.5765732479525583,0.14654515777019986,32.8,25.8,7.0,5,5
